tile,repetition,codec,preset,qp,height,time
suburb13.y4m,4,hevc_nvenc,p2,18,320,4.176
suburb13.y4m,0,hevc_nvenc,p2,20,0,6.561
suburb13.y4m,1,hevc_nvenc,p2,20,0,6.55
suburb13.y4m,2,hevc_nvenc,p2,20,0,6.529
suburb13.y4m,3,hevc_nvenc,p2,20,0,6.559
suburb13.y4m,4,hevc_nvenc,p2,20,0,6.541
suburb13.y4m,0,hevc_nvenc,p2,20,320,4.008
suburb13.y4m,1,hevc_nvenc,p2,20,320,3.937
suburb13.y4m,2,hevc_nvenc,p2,20,320,4.137
suburb13.y4m,3,hevc_nvenc,p2,20,320,4.213
suburb13.y4m,4,hevc_nvenc,p2,20,320,4.176
suburb13.y4m,0,hevc_nvenc,p2,22,0,6.59
suburb13.y4m,1,hevc_nvenc,p2,22,0,6.533
suburb13.y4m,2,hevc_nvenc,p2,22,0,6.531
suburb13.y4m,3,hevc_nvenc,p2,22,0,6.551
suburb13.y4m,4,hevc_nvenc,p2,22,0,6.538
suburb13.y4m,0,hevc_nvenc,p2,22,320,4.219
suburb13.y4m,1,hevc_nvenc,p2,22,320,4.181
suburb13.y4m,2,hevc_nvenc,p2,22,320,4.103
suburb13.y4m,3,hevc_nvenc,p2,22,320,4.331
suburb13.y4m,4,hevc_nvenc,p2,22,320,4.129
suburb13.y4m,0,hevc_nvenc,p2,24,0,6.561
suburb13.y4m,1,hevc_nvenc,p2,24,0,6.525
suburb13.y4m,2,hevc_nvenc,p2,24,0,6.547
suburb13.y4m,3,hevc_nvenc,p2,24,0,6.544
suburb13.y4m,4,hevc_nvenc,p2,24,0,6.53
suburb13.y4m,0,hevc_nvenc,p2,24,320,4.329
suburb13.y4m,1,hevc_nvenc,p2,24,320,4.098
suburb13.y4m,2,hevc_nvenc,p2,24,320,4.301
suburb13.y4m,3,hevc_nvenc,p2,24,320,4.396
suburb13.y4m,4,hevc_nvenc,p2,24,320,4.38
suburb13.y4m,0,hevc_nvenc,p2,26,0,6.579
suburb13.y4m,1,hevc_nvenc,p2,26,0,6.552
suburb13.y4m,2,hevc_nvenc,p2,26,0,6.542
suburb13.y4m,3,hevc_nvenc,p2,26,0,6.544
suburb13.y4m,4,hevc_nvenc,p2,26,0,6.542
suburb13.y4m,0,hevc_nvenc,p2,26,320,4.06
suburb13.y4m,1,hevc_nvenc,p2,26,320,4.075
suburb13.y4m,2,hevc_nvenc,p2,26,320,4.427
suburb13.y4m,3,hevc_nvenc,p2,26,320,4.197
suburb13.y4m,4,hevc_nvenc,p2,26,320,4.157
suburb13.y4m,0,hevc_nvenc,p2,28,0,6.574
suburb13.y4m,1,hevc_nvenc,p2,28,0,6.558
suburb13.y4m,2,hevc_nvenc,p2,28,0,6.534
suburb13.y4m,3,hevc_nvenc,p2,28,0,6.572
suburb13.y4m,4,hevc_nvenc,p2,28,0,6.547
suburb13.y4m,0,hevc_nvenc,p2,28,320,3.994
suburb13.y4m,1,hevc_nvenc,p2,28,320,4.148
suburb13.y4m,2,hevc_nvenc,p2,28,320,4.259
suburb13.y4m,3,hevc_nvenc,p2,28,320,4.233
suburb13.y4m,4,hevc_nvenc,p2,28,320,4.294
suburb13.y4m,0,hevc_nvenc,p2,30,0,6.579
suburb13.y4m,1,hevc_nvenc,p2,30,0,6.546
suburb13.y4m,2,hevc_nvenc,p2,30,0,6.55
suburb13.y4m,3,hevc_nvenc,p2,30,0,6.55
suburb13.y4m,4,hevc_nvenc,p2,30,0,6.551
suburb13.y4m,0,hevc_nvenc,p2,30,320,4.195
suburb13.y4m,1,hevc_nvenc,p2,30,320,4.168
suburb13.y4m,2,hevc_nvenc,p2,30,320,4.176
suburb13.y4m,3,hevc_nvenc,p2,30,320,3.986
suburb13.y4m,4,hevc_nvenc,p2,30,320,4.232
suburb13.y4m,0,hevc_nvenc,p2,32,0,6.564
suburb13.y4m,1,hevc_nvenc,p2,32,0,6.535
suburb13.y4m,2,hevc_nvenc,p2,32,0,6.567
suburb13.y4m,3,hevc_nvenc,p2,32,0,6.56
suburb13.y4m,4,hevc_nvenc,p2,32,0,6.558
suburb13.y4m,0,hevc_nvenc,p2,32,320,4.207
suburb13.y4m,1,hevc_nvenc,p2,32,320,3.751
suburb13.y4m,2,hevc_nvenc,p2,32,320,4.276
suburb13.y4m,3,hevc_nvenc,p2,32,320,4.342
suburb13.y4m,4,hevc_nvenc,p2,32,320,4.271
suburb13.y4m,0,hevc_nvenc,p2,34,0,6.559
suburb13.y4m,1,hevc_nvenc,p2,34,0,6.55
suburb13.y4m,2,hevc_nvenc,p2,34,0,6.543
suburb13.y4m,3,hevc_nvenc,p2,34,0,6.559
suburb13.y4m,4,hevc_nvenc,p2,34,0,6.527
suburb13.y4m,0,hevc_nvenc,p2,34,320,4.247
suburb13.y4m,1,hevc_nvenc,p2,34,320,4.312
suburb13.y4m,2,hevc_nvenc,p2,34,320,4.109
suburb13.y4m,3,hevc_nvenc,p2,34,320,4.129
suburb13.y4m,4,hevc_nvenc,p2,34,320,4.166
suburb13.y4m,0,hevc_nvenc,p2,36,0,6.622
suburb13.y4m,1,hevc_nvenc,p2,36,0,6.533
